Monnaie,Cours,1h,24h,7j,Volume sur 24h,Capitalisation du marché
Razor Network RAZOR RAZOR,"$0,105852",-5.1%,-9.1%,46.8%,$324 180,$14 178 033
Jenny Metaverse DAO Token UJENNY UJENNY,"$1,41",0.6%,-5.5%,1.8%,$67 578,$14 149 283
mStable BTC MBTC MBTC,$64 236,?,?,?,?,$14 146 893
Siren SI SI,"$0,629116",0.4%,-4.9%,25.0%,$42 229,$14 121 213
AS Roma Fan Token ASR ASR,"$6,61",0.8%,-5.7%,-9.7%,$3 476 661,$14 093 557
CoinOne Token CONE CONE,"$2,54",0.9%,-4.1%,5.1%,$121 445,$14 045 379
SmartCash SMART SMART,"$0,005082185773",-0.1%,-7.0%,-16.4%,$459 220,$14 019 012
Sperax SPA SPA,"$0,051493226711",0.6%,-6.5%,-0.0%,$726 276,$13 921 747
Smart MFG MFG MFG,"$0,052602478137",0.2%,-11.5%,-15.7%,$108 783,$13 912 806
Muse MUSE MUSE,"$17,17",-3.0%,-10.8%,-2.5%,"$18 251,00",$13 892 488
The Three Kingdoms TTK TTK,"$0,222967",1.3%,-8.0%,6.9%,$679 920,$13 836 140
Warp Finance WARP WARP,"$463,54",0.3%,-35.8%,64.7%,$2 693 185,$13 729 516
Xend Finance XEND XEND,"$0,283576",0.3%,-9.8%,-3.7%,$542 164,$13 684 510
DeepBrain Chain DBC DBC,"$0,004287022987",1.6%,-1.7%,-10.9%,$1 156 142,$13 681 108
Strips Finance STRP STRP,"$6,37",2.1%,-5.1%,5.0%,$507 353,$13 620 291
ExNetwork Token EXNT EXNT,"$0,214070",,-3.2%,7.9%,"$1 091,76",$13 513 001
vEmpire DDAO VEMP VEMP,"$0,078055694864",3.0%,-6.9%,23.9%,$1 877 117,$13 480 213
DEEPSPACE DPS DPS,"$0,237469",0.8%,-2.2%,302.5%,$422 600,$13 437 675
Yearn Lazy Ape YLA YLA,"$1,08",?,?,?,?,$13 436 542
DIGG DIGG DIGG,$53 187,0.6%,-11.2%,-22.2%,$382 210,$13 425 417
HEdpAY HDP.Ф  HDP.Ф,"$0,201666",12.2%,0.4%,-8.4%,"$2 320,87",$13 348 260
Nafter NAFT NAFT,"$0,029952129108",-0.4%,-1.9%,-18.7%,$1 643 913,$13 327 508
Equalizer EQZ EQZ,"$0,449460",-1.1%,-2.4%,21.6%,$1 420 706,$13 326 503
Kick KICK KICK,"$0,008940503766",-1.0%,-0.6%,-0.4%,$1 368 566,$13 292 128
Fear FEAR FEAR,"$1,54",-0.1%,3.3%,33.6%,$5 459 446,$13 254 276
Leonicorn Swap LEOS LEOS,"$1,47",2.4%,-3.0%,-19.1%,$772 665,$13 211 813
GEEQ GEEQ GEEQ,"$1,29",-0.6%,0.9%,46.5%,"$0,000000000000",$13 209 199
dotmoovs MOOV MOOV,"$0,026595750156",1.5%,15.9%,-5.1%,$208 343,$13 191 492
RioDeFi RFUEL RFUEL,"$0,058462392527",1.4%,-4.4%,15.9%,$11 476 979,$13 082 320
Ripio Credit Network RCN RCN,"$0,024632234615",0.0%,-2.6%,-3.5%,$20 987,$13 031 831
BSCEX BSCX BSCX,"$3,41",,-3.0%,-1.3%,"$1 649,39",$13 026 762
VFOX VFOX VFOX,"$0,620482",0.1%,-13.6%,1.7%,$22 800,$13 013 284
VFOX VFOX VFOX,"$0,620482",0.1%,-13.6%,1.7%,$22 800,$13 013 284
My Master War MAT MAT,"$2,25",1.2%,-16.9%,-26.7%,$820 236,$13 006 284
Dfyn Network DFYN DFYN,"$0,438901",0.7%,-3.7%,-18.3%,$2 868 909,$13 001 891
Receive Access Ecosystem RAE RAE,"$1,99",0.1%,-4.6%,6.8%,"$10 963,67",$12 893 793
INSTAR INSTAR INSTAR,"$0,060732972909",-1.3%,-13.1%,-44.0%,$1 382 981,$12 804 678
Jarvis Reward Token JRT JRT,"$0,063199371415",1.5%,-1.0%,2.2%,$32 111,$12 798 607
StakeWise SWISE SWISE,"$0,246415",-0.1%,34.5%,49.3%,$72 573,$12 750 940
PieDAO DOUGH v2 DOUGH DOUGH,"$0,832155",0.5%,-4.8%,-3.0%,"$19 980,58",$12 743 867
Thales THALES THALES,"$2,11",0.3%,-1.7%,16.4%,$249 173,$12 679 600
Niftyx Protocol SHROOM SHROOM,"$0,246227",0.5%,-9.8%,-3.1%,$80 233,$12 652 649
Fabric FAB FAB,"$0,169740",2.7%,-3.6%,116.8%,$616 217,$12 650 594
Plian PI PI,"$0,014469775316",-0.9%,-8.7%,25.0%,$157 595,$12 586 306
Gather GTH GTH,"$0,099372210153",-0.1%,-0.3%,23.6%,$971 996,$12 582 391
ZooKeeper ZOO ZOO,"$0,195817",3.6%,-3.5%,54.8%,$1 184 798,$12 582 029
ZilSwap ZWAP ZWAP,"$47,46",1.6%,-14.4%,50.8%,$276 518,$12 565 794
BaaSid BAAS BAAS,"$0,002453614864",0.6%,1.8%,6.9%,$362 279,$12 555 505
Bonded Finance BOND BOND,"$0,032589273152",3.8%,2.2%,10.3%,$253 233,$12 519 149
Bird.Money BIRD BIRD,"$135,53",0.3%,-8.2%,72.1%,$248 438,$12 493 190
Unit Protocol New DUCK DUCK,"$0,052186512211",-0.3%,-7.3%,-52.6%,$230 161,$12 432 462
Lympo Market Token LMT LMT,"$0,179207",1.2%,1.5%,29.0%,$191 068,$12 402 967
Global Coin Research GCR GCR,"$1,23",,31.5%,17.2%,$45 469,$12 318 623
Plant vs Undead Token PVU PVU,"$0,728683",0.4%,-11.6%,-41.1%,$2 967 871,$12 231 215
Useless USELESS USELESS,"$0,000000017148",1.6%,8.1%,-8.9%,$68 697,$12 214 475
DFX Finance DFX DFX,"$1,54",-0.2%,-6.0%,-4.1%,$121 112,$12 209 819
Must MUST MUST,"$124,57",-1.1%,-3.0%,24.8%,$426 580,$12 182 323
apM Coin APM APM,"$0,033642161799",1.1%,-3.6%,9.6%,$207 269,$12 174 257
Media Network MEDIA MEDIA,"$48,29",0.7%,-4.1%,1.5%,$5 747 744,$12 071 727
Divergence Protocol DIVER DIVER,"$0,212049",0.3%,-9.1%,-40.8%,$666 357,$11 968 940
Cola Token COLA COLA,"$0,199173",1.2%,-6.7%,-0.6%,$327 084,$11 956 348
Tower TOWER TOWER,"$0,045472361140",-0.0%,-6.7%,10.0%,$862 134,$11 932 599
Hord HORD HORD,"$0,151169",0.3%,-4.1%,6.6%,$787 707,$11 865 900
Diamond DMD DMD,"$3,26",8.6%,-6.0%,-6.4%,$65 158,$11 857 428
Stone Token STN STN,"$0,437084",0.3%,-4.7%,-3.1%,$705 573,$11 821 539
Universa UTNP UTNP,"$0,003713879015",?,?,?,?,$11 749 146
Monetha MTH MTH,"$0,033740976900",0.8%,-13.5%,-10.2%,$324 310,$11 705 163
Wabi WABI WABI,"$0,198910",1.0%,-10.5%,-6.0%,$1 477 158,$11 704 531
MahaDAO MAHA MAHA,"$5,00",-0.1%,-4.7%,-15.8%,$1 962 152,$11 660 314
Matrix AI Network MAN MAN,"$0,077875669694",-14.6%,7.3%,38.6%,$3 295 181,$11 658 586
CryptoZoon ZOON ZOON,"$0,014271054731",0.5%,-3.4%,-19.1%,$2 740 354,$11 658 578
Fuse FUSE FUSE,"$0,094164378264",1.5%,-4.7%,15.6%,$152 069,$11 595 328
Smart Valor VALOR VALOR,"$0,440958",-2.0%,-7.5%,-1.6%,$871 839,$11 569 638
Radar RADAR RADAR,"$0,242318",0.2%,-3.4%,-4.3%,$50 360,$11 556 412
BlockBank BBANK BBANK,"$0,141492",0.4%,-3.5%,-15.2%,$1 048 672,$11 547 903
Litecoin Cash LCC LCC,"$0,015529108414",5.1%,-10.7%,-32.1%,"$2 227,69",$11 542 118
CyberFi CFI CFI,"$7,08",0.6%,-7.7%,-15.2%,$82 685,$11 523 309
SONM SNM SNM,"$0,259580",0.5%,-8.4%,-2.5%,$548 875,$11 486 332
EOSForce EOSC EOSC,"$0,039057616806",-2.8%,10.2%,105.5%,$1 535 099,$11 419 893
TigerCash TCH TCH,"$0,016423572927",-1.1%,-7.9%,-2.5%,$7 924 696,$11 356 393
SpaceChain (ERC-20) SPC SPC,"$0,027951070585",0.2%,-6.9%,-10.1%,"$4 174,33",$11 356 359
Bitcoin Pro BTCP BTCP,"$88,48",0.6%,98.0%,221.7%,"$12 957,38",$11 346 371
Epik Prime EPIK EPIK,"$0,094663177075",0.1%,-11.0%,-16.3%,$968 770,$11 284 683
INTchain INT INT,"$0,014663285499",0.3%,-7.7%,-4.5%,$1 961 834,$11 197 122
EUNO EUNO EUNO,"$0,001757054145",,41.1%,-8.4%,"$16 992,44",$11 164 271
Ubiq UBQ UBQ,"$0,239283",-2.5%,-9.9%,-4.0%,"$10 102,11",$11 150 323
Banano BAN BAN,"$0,008351315016",-0.0%,-13.8%,-21.7%,$172 757,$11 134 386
DeathRoad DRACE DRACE,"$0,212261",0.7%,-11.2%,8.5%,$495 098,$11 071 891
MoonStarter MNST MNST,"$0,106391",-2.0%,-11.2%,31.6%,$2 040 468,$11 047 830
Bondly BONDLY BONDLY,"$0,057698496822",2.8%,-10.5%,0.9%,$992 356,$11 038 420
Franklin FLY FLY,"$0,032834063582",-1.1%,-8.6%,25.4%,$2 323 508,$11 034 640
MoonLana MOLA MOLA,"$0,002614089670",-5.1%,-24.7%,118.7%,$654 770,$10 947 478
Era Swap Token ES ES,"$0,009226643224",3.2%,-2.2%,-6.7%,$211 454,$10 863 779
Stakecube SCC SCC,"$1,11",0.6%,-5.9%,1.8%,$28 538,$10 855 553
Olyseum OLY OLY,"$0,009058738168",0.4%,-1.3%,-6.6%,$60 322,$10 751 821
Qi Dao QI QI,"$0,666486",1.1%,21.8%,17.9%,$2 058 831,$10 742 952
PolkaCover CVR CVR,"$0,181337",-2.5%,5.4%,-4.1%,$197 735,$10 734 916
Tranche Finance SLICE SLICE,"$0,613588",0.4%,-0.6%,5.6%,$83 927,$10 688 292
Genaro Network GNX GNX,"$0,035090086631",-5.0%,-20.7%,40.6%,$6 228 762,$10 638 026
UREEQA URQA URQA,"$0,261412",,-5.0%,-12.1%,$33 758,$10 626 715
BSC Station BSCS BSCS,"$0,273154",1.1%,-1.0%,17.2%,$1 447 843,$10 616 836
Delta Exchange Token DETO DETO,"$0,194382",2.7%,-16.4%,-16.8%,$71 085,$10 575 705
SWFTCOIN SWFTC SWFTC,"$0,001623413463",3.7%,-5.5%,-6.3%,$4 173 122,$10 570 975
Trava Finance TRAVA TRAVA,"$0,018976162479",1.2%,-1.5%,-20.5%,$544 491,$10 516 502
Graviton GTON GTON,"$2,90",0.9%,-1.5%,9.0%,$34 791,$10 516 228
Rich Quack QUACK QUACK,"$0,000000000232",2.9%,11.0%,143.5%,$339 152,$10 514 630
GrimToken GRIM GRIM,"$1,14",0.0%,-10.9%,-17.6%,$172 855,$10 506 430
TurtleCoin TRTL TRTL,"$0,000092239364",0.6%,-7.8%,-2.3%,$328 371,$10 481 283
LOCGame LOCG LOCG,"$0,260334",1.0%,5.4%,68.7%,$7 623 435,$10 443 644
Covesting COV COV,"$0,550625",1.1%,-9.1%,-20.2%,$430 484,$10 404 550
POA Network POA POA,"$0,035453177055",0.7%,-8.5%,-12.4%,$289 889,$10 391 355
Impossible Finance IF IF,"$1,18",-0.1%,-6.3%,1.8%,$53 661,$10 353 701
ScPrime SCP SCP,"$0,225981",2.3%,-4.2%,-14.1%,$27 882,$10 254 325
Shopping.io Governance GSPI GSPI,"$10,24",-3.4%,28.7%,57.2%,$2 001 602,$10 204 643
Pallapay PALLA PALLA,"$0,055445671976",1.1%,-9.1%,-6.7%,$451 123,$10 180 959
UniWhales UWL UWL,"$1,50",0.1%,-2.2%,3.9%,$66 911,$10 180 372
Wault USD WUSD WUSD,"$0,933035",0.3%,-0.1%,-0.8%,$338 092,$10 141 622
Einsteinium EMC2 EMC2,"$0,045490403756",-5.7%,-12.3%,-20.6%,$268 001,$10 103 045
Euler Tools EULER EULER,"$0,139519",-0.9%,-5.3%,4.3%,$375 784,$10 082 860
Nucleus Vision NCASH NCASH,"$0,003555608160",2.6%,-7.8%,29.6%,$1 319 640,$10 049 512
Rhythm RHYTHM RHYTHM,"$0,000780527661",1.7%,-41.3%,774.5%,$919 326,$10 008 925
Monolith TKN TKN,"$0,275661",-0.8%,-7.4%,7.5%,$33 143,$9 990 443
Unipilot PILOT PILOT,"$13,40",0.1%,-21.5%,102.7%,$1 676 715,$9 982 988
Roobee ROOBEE ROOBEE,"$0,008186722935",-1.3%,-4.8%,19.1%,$1 578 207,$9 970 009
CropperFinance CRP CRP,"$0,442039",-1.6%,-12.0%,-17.5%,$4 645 315,$9 945 867
ReapChain REAP REAP,"$0,155422",0.6%,-3.7%,21.1%,$657 651,$9 943 279
IQeon IQN IQN,"$1,81",0.3%,5.6%,9.7%,$689 322,$9 938 424
Total Crypto Market Cap TCAP TCAP,"$351,63",?,?,?,?,$9 938 401
Mobius MOBI MOBI,"$0,019319811129",1.0%,-9.6%,-1.1%,$50 108,$9 935 675
BiFi BIFI BIFI,"$0,092294461588",0.6%,-15.6%,-26.7%,$709 419,$9 920 434
Bogged Finance BOG BOG,"$0,698844",0.1%,-1.9%,-4.7%,$326 868,$9 905 370
SideShift Token XAI XAI,"$0,243584",0.6%,0.6%,-7.3%,"$10 409,93",$9 878 705
Robot ROBOT ROBOT,"$54,91",,-5.3%,-21.9%,"$13 144,11",$9 846 649
Value Network Token VNTW VNTW,"$1,28",-0.6%,8.0%,19.2%,$205 425,$9 824 879
Mirrored Ether METH METH,"$4 109,25",1.1%,-3.6%,15.8%,$1 324 413,$9 815 186
Meme MEME MEME,"$369,92",1.3%,-2.0%,-8.3%,$604 083,$9 771 816
IX Swap IXS IXS,"$0,369396",-1.3%,9.2%,13.1%,$912 132,$9 748 982
OneSwap DAO Token ONES ONES,"$0,822182",-1.0%,-4.9%,-6.8%,$33 320,$9 743 390
Lightcoin LHC LHC,"$0,215948",0.8%,-12.1%,-37.7%,$104 200,$9 728 041
Viberate VIB VIB,"$0,053167901969",0.9%,-7.3%,-7.7%,$1 309 560,$9 717 841
Revomon REVO REVO,"$0,430275",0.2%,-6.4%,23.9%,$680 362,$9 649 528
EthOS OS OS,"$14,76",0.1%,-13.2%,-9.6%,$202 336,$9 640 902
Lympo LYM LYM,"$0,011384348463",-1.3%,-21.9%,22.1%,$1 212 181,$9 636 927
Filda FILDA FILDA,"$0,086936395666",1.5%,-13.4%,7.2%,$577 320,$9 604 502
Draken DRK DRK,"$0,008626785672",0.4%,-34.1%,-3.6%,"$99,41",$9 587 939
CBC.network CBC CBC,"$0,046437232583",0.7%,-0.7%,4.4%,$201 489,$9 587 433
Bismuth BIS BIS,"$0,391373",0.6%,-1.7%,199.9%,"$175,55",$9 585 157
UniDex UNIDX UNIDX,"$2,68",1.1%,-0.3%,13.9%,$243 466,$9 585 117
Nord Finance NORD NORD,"$3,75",1.8%,0.1%,58.0%,$826 021,$9 570 535
Lith Token LITH LITH,"$0,001764058394",?,?,?,?,$9 557 264
xFund XFUND XFUND,"$1 349,72",-1.1%,-6.6%,-6.8%,$102 906,$9 530 786
Cops Finance COPS COPS,"$578,59",?,?,?,?,$9 418 244
Yup YUP YUP,"$1,47",0.1%,10.2%,115.8%,$86 189,$9 412 471
Rocket Vault-RocketX RVF RVF,"$0,142635",9.9%,82.2%,171.6%,$1 362 384,$9 393 638
RealFevr FEVR FEVR,"$0,005092737984",0.4%,1.3%,-13.8%,$179 587,$9 391 352
Kawakami Inu KAWA KAWA,"$0,000010410999",10.2%,-23.6%,44.4%,$209 399,$9 318 233
AMLT Network AMLT AMLT,"$0,027637110923",0.1%,-8.5%,-7.2%,$43 137,$9 288 427
smARTOFGIVING AOG AOG,"$0,142678",-0.5%,-4.7%,-3.5%,"$12 245,43",$9 271 359
Zap ZAP ZAP,"$0,037355774672",-0.1%,-3.6%,-11.6%,$272 814,$9 248 235
Kattana KTN KTN,"$4,93",0.4%,-7.0%,7.0%,$117 455,$9 200 615
Acent ACE ACE,"$0,088879296115",-0.6%,-14.1%,15.5%,$1 414 878,$9 141 347
SaTT SATT SATT,"$0,002148490745",0.8%,4.3%,-18.9%,$104 557,$9 127 769
Decentral Games ICE ICE ICE,"$0,061912746129",4.1%,35.2%,,$1 624 588,$9 127 177
xToken XTK XTK,"$0,051221103123",0.4%,-5.2%,-17.2%,$68 330,$9 109 528
Rune RUNE RUNE,"$471,60",-1.0%,5.6%,121.3%,$56 921,$9 101 409
Splyt SHOPX SHOPX,"$0,099451068329",2.4%,-7.8%,-7.7%,$119 971,$9 060 755
Prosper PROS PROS,"$2,03",0.8%,-6.0%,-2.9%,$2 133 406,$8 983 920
Rangers Protocol RPG RPG,"$19,29",0.1%,-3.0%,-11.5%,$584 840,$8 982 164
ClinTex CTi CTI CTI,"$0,107694",-0.1%,-0.4%,74.1%,$1 525 990,$8 969 614
KuSwap KUS KUS,"$2,67",0.7%,-9.3%,32.1%,$682 865,$8 945 073
CarbonEco C0 C0,"$0,000000020309",,-4.8%,4.6%,"$0,000000000000",$8 943 308
Gulden NLG NLG,"$0,016632141838",4.9%,-9.1%,7.8%,$96 607,$8 935 008
Impermax IMX IMX,"$0,386599",-0.0%,-9.1%,3.7%,$33 027,$8 931 438
CluCoin CLU CLU,"$0,000000029969",1.7%,-4.1%,-11.0%,$176 933,$8 925 765
CREDITS CS CS,"$0,039326092761",0.1%,-2.7%,-1.0%,$159 601,$8 916 998
GraphLinq Protocol GLQ GLQ,"$0,027566953207",1.9%,-4.3%,12.4%,$325 795,$8 904 126
xxxNifty NSFW NSFW,"$0,000227819179",1.0%,-11.3%,58.7%,$83 933,$8 903 402
Unit Protocol COL COL,"$0,002007939601",?,?,?,?,$8 885 832
Mirrored Bitcoin MBTC MBTC,$60 410,-0.1%,-5.5%,14.1%,$949 246,$8 859 993
Raze Network RAZE  RAZE,"$0,147700",0.2%,-19.7%,15.7%,$1 522 288,$8 838 366
LATOKEN LA LA,"$0,145747",1.0%,-4.6%,32.7%,$53 316,$8 824 336
DUST Token DUST DUST,"$0,036251578751",?,?,?,?,$8 811 536
Etho Protocol ETHO ETHO,"$0,152879",-3.0%,12.9%,97.9%,$3 134 913,$8 741 478
WanSwap WASP WASP,"$0,072347979826",0.8%,-8.1%,18.4%,$76 576,$8 725 143
Pluton PLU PLU,"$4,78",2.8%,-4.8%,7.4%,$166 116,$8 722 638
YAM YAM YAM,"$0,679099",3.3%,-2.3%,24.4%,$2 081 043,$8 722 277
Swerve SWRV SWRV,"$0,559269",-0.1%,-15.5%,-7.5%,$4 130 806,$8 695 931
AppCoins APPC APPC,"$0,074706236830",0.7%,-6.6%,-14.7%,$136 188,$8 695 558
Archer DAO Governance Token ARCH ARCH,"$3,59",,-14.4%,12.9%,$182 828,$8 680 724
OG Fan Token OG OG,"$6,30",1.2%,-9.9%,-12.7%,$2 383 741,$8 664 610
Autonio NIOX NIOX,"$0,095047695326",-0.0%,-5.9%,-26.1%,$107 924,$8 593 052
DigitalNote XDN XDN,"$0,001063283332",10.9%,0.8%,-12.8%,$42 833,$8 573 476
Swarm Markets SMT SMT,"$0,239850",-0.7%,-14.5%,2123255220015737700000000000000000000%,$27 743,$8 501 829
TribeOne HAKA HAKA,"$0,273519",3.3%,-3.9%,164.3%,$2 212 667,$8 459 488
Pillar PLR PLR,"$0,032444914771",0.5%,-6.7%,-2.6%,$34 470,$8 414 549
Fedoracoin TIPS TIPS,"$0,000015677377",13.8%,1.5%,12.1%,$302 316,$8 409 440
Chainge Finance CHNG CHNG,"$0,092947787591",0.9%,-4.3%,-9.1%,$181 446,$8 401 871
Dovu DOV DOV,"$0,027403273444",1.9%,-11.2%,13.3%,$198 338,$8 393 304
Voice Token VOICE VOICE,"$238,16",0.2%,1.4%,-3.0%,$192 934,$8 367 519
All Sports SOC SOC,"$0,007135999947",2.1%,-11.5%,-12.7%,$2 619 251,$8 359 878
QLC Chain QLC QLC,"$0,034756742804",-0.4%,-8.7%,-7.1%,$264 746,$8 344 619
RedPanda Earth REDPANDA REDPANDA,"$0,000000000020",0.1%,-5.0%,-3.5%,$106 260,$8 342 949
Effect Network EFX EFX,"$0,040564577998",-0.8%,-12.0%,2.0%,$254 083,$8 340 666
Time New Bank TNB TNB,"$0,002427988953",0.3%,-13.1%,-11.4%,$316 157,$8 315 738
Gameswap GSWAP GSWAP,"$0,946985",,-10.3%,-2.6%,$39 941,$8 296 101
Indexed Finance NDX NDX,"$2,34",-1.9%,-10.6%,-19.9%,$48 067,$8 266 305
Spendcoin SPND SPND,"$0,008659295975",-2.1%,-20.1%,41.0%,"$65,81",$8 257 951
LuaSwap LUA LUA,"$0,068726290825",-0.4%,-5.5%,-5.2%,$173 557,$8 232 358
MARS4 MARS4 MARS4,"$0,022949515888",1.5%,-10.3%,-7.0%,$151 077,$8 213 494
Tokenomy TEN TEN,"$0,071804985990",1.8%,-4.3%,5.0%,$563 625,$8 200 724
ProximaX XPX XPX,"$0,001264837199",0.0%,33.6%,15.4%,"$0,000000000000",$8 198 204
Charged Particles IONX IONX,"$0,735703",0.5%,-21.3%,-8.1%,$101 001,$8 191 800
Polker PKR PKR,"$0,172347",0.8%,-2.8%,-10.7%,$1 400 212,$8 162 362
Verox VRX VRX,"$394,27",0.8%,1.8%,-10.9%,$2 482 118,$8 154 383
Moon Nation Game MNG MNG,"$0,029111970752",1.0%,-6.7%,-19.4%,$37 878,$8 134 524
Hanu Yokia HANU HANU,"$0,000004720028",-5.8%,-9.5%,40.4%,$1 029 334,$8 129 952
Mirrored iShares Gold Trust MIAU MIAU,"$17,90",?,?,?,?,$8 036 916
Cryptomeda TECH TECH,"$0,060398891944",0.1%,2.5%,18.4%,$403 706,$8 035 165
POP Network POP POP,"$0,005025806953",14.8%,6.1%,-42.0%,$50 766,$8 023 284
cWBTC CWBTC CWBTC,"$1 186,73",0.8%,-5.2%,-8.0%,$2 279 150,$8 021 360
Lendingblock LND LND,"$0,010161807462",-0.6%,98.7%,7.9%,$20 661,$8 012 390
AurusDeFi AWX AWX,"$3,30",0.4%,1.9%,-18.0%,"$7 932,60",$7 999 561
DefiDollar DUSD DUSD,"$1,03",-26.4%,22.2%,3.8%,$5 947 676,$7 984 070
Cardence $CRDN $CRDN,"$0,303186",0.6%,-9.0%,10.7%,$816 525,$7 938 003
Ridotto RDT RDT,"$0,737836",0.4%,-12.8%,22.6%,$332 748,$7 917 550
NearPad PAD PAD,"$1,82",0.8%,8.5%,108.2%,$493 369,$7 906 664
Jigstack STAK STAK,"$0,007233258068",-3.6%,-16.1%,-48.2%,$284 171,$7 883 811
Raven Protocol RAVEN RAVEN,"$0,001773552185",0.4%,-21.9%,-26.4%,$36 319,$7 868 624
CrossSwap CSWAP CSWAP,"$0,392643",0.3%,-10.1%,10.3%,$121 060,$7 852 870
BitcoinZ BTCZ BTCZ,"$0,000753237425",0.5%,-5.4%,18.3%,"$13 029,90",$7 849 737
Blocknet BLOCK BLOCK,"$0,955625",-0.4%,-5.8%,-22.6%,$56 171,$7 836 376
DAOhaus HAUS HAUS,"$18,94",0.1%,-2.3%,10.2%,$37 570,$7 825 903
CoinPoker CHP CHP,"$0,024499989018",0.1%,-22.7%,-45.0%,$192 943,$7 809 860
Dify.Finance YFIII YFIII,"$487,31",0.4%,-32.2%,-4.2%,"$12 013,62",$7 796 976
WorldCoin WDC WDC,"$0,055251080471",-15.2%,-21.2%,79.5%,"$19 127,70",$7 761 685
Agrello DLT DLT,"$0,094667741750",1.3%,-8.6%,-7.4%,$729 443,$7 749 575
Relay Token RELAY RELAY,"$1,81",0.9%,-12.8%,2.0%,$213 769,$7 717 661
Snowball SNOB SNOB,"$0,907938",1.5%,-1.0%,26.9%,$722 964,$7 653 050
Pickle Finance PICKLE PICKLE,"$9,27",1.3%,-8.2%,-25.2%,$3 686 848,$7 651 405
Mettalex MTLX MTLX,"$1,96",-3.9%,-8.2%,-7.8%,$226 287,$7 600 466
Electronic Gulden EFL EFL,"$0,362136",?,?,?,?,$7 599 745
DinoX DNXC DNXC,"$0,398710",0.1%,-9.9%,0.8%,$473 817,$7 580 378
Vaiot VAI VAI,"$0,515097",-0.6%,-6.4%,13.5%,$573 760,$7 553 502
Umi Digital UMI UMI,"$0,000227570791",1.3%,-11.9%,-10.7%,$268 122,$7 533 885
Pastel PSL PSL,"$0,002972351361",1.8%,-17.6%,-23.3%,$28 765,$7 522 179
WaultSwap WEX WEX,"$0,001055674820",0.8%,0.4%,-24.9%,$492 025,$7 516 508
BoringDAO BORING BORING,"$0,012886927080",3.7%,8.0%,21.1%,$1 483 563,$7 514 645
e-Money EUR EEUR EEUR,"$1,11",1.4%,-1.4%,0.2%,$5 358 602,$7 511 020
Dapp.com DAPPT DAPPT,"$0,005298814927",0.0%,-15.8%,102.5%,$2 000 524,$7 490 703
Sunny Aggregator SUNNY SUNNY,"$0,029370454520",-1.8%,-11.3%,-24.2%,$1 649 095,$7 486 436
HeroFi HEROEGG HEROEGG,"$0,028605773944",0.0%,-0.0%,-10.0%,$461 219,$7 475 443
Oiler OIL OIL,"$0,665865",1.0%,-0.2%,-26.3%,"$735,25",$7 441 117
PolyDoge POLYDOGE POLYDOGE,"$0,000000008561",6.6%,40.7%,74.9%,$605 378,$7 431 938
ZMINE ZMN ZMN,"$0,012234176134",-1.0%,-6.3%,-8.4%,"$3 425,19",$7 428 441
XMax XMX XMX,"$0,000274950720",-0.1%,-9.3%,-0.3%,$190 791,$7 423 669
Vidya VIDYA VIDYA,"$0,177827",,-3.8%,-8.7%,$34 678,$7 421 127
Revain REV REV,"$0,015209049517",0.4%,-11.2%,-13.3%,$2 515 784,$7 379 025
TOP Network TOP TOP,"$0,001792880154",4.1%,-10.6%,-12.5%,$204 192,$7 340 377
Rupiah Token IDRT IDRT,"$0,000070356892",0.8%,-1.0%,-1.4%,$1 243 022,$7 331 800
ANY Blocknet ABLOCK ABLOCK,"$0,895298",,-10.7%,-14.7%,"$5 347,94",$7 303 560
Vexanium VEX VEX,"$0,007310201720",0.7%,-2.4%,3.7%,$159 289,$7 292 760
Banana BANANA BANANA,"$57,57",-0.3%,-7.1%,17.6%,$551 426,$7 289 278
Shadows DOWS DOWS,"$0,295760",0.3%,1.3%,19.6%,$151 212,$7 259 060
Egretia EGT EGT,"$0,001857998180",0.3%,-10.0%,-6.3%,$1 131 643,$7 230 965
Bibox Token  BIX BIX,"$0,061830869521",-1.1%,-11.9%,5.4%,$10 423 907,$7 228 384
Odyssey OCN OCN,"$0,000709571254",-3.4%,-13.9%,-10.7%,$442 535,$7 212 918
DeFi Yield Protocol DYP DYP,"$0,453574",2.3%,-11.4%,14.1%,$1 331 870,$7 185 822
AnRKey X $ANRX $ANRX,"$0,066965618551",0.4%,-6.0%,-3.3%,$189 782,$7 172 974
OIN Finance OIN OIN,"$0,395607",-2.3%,-9.4%,26.1%,$194 608,$7 121 767
InventoryClub VNT VNT,"$0,198977",?,?,?,?,$7 120 578
NerveNetwork NVT NVT,"$0,028688608642",0.9%,-5.2%,-5.6%,"$1 261,80",$7 109 470
Midas MIDAS MIDAS,"$3,16",,-8.2%,,"$388,32",$7 098 858
rbase.finance RBASE RBASE,"$0,287566",?,?,?,?,$7 064 043
BigShortBets BIGSB BIGSB,"$0,832643",,-6.0%,-0.4%,"$4 437,96",$7 056 823
Feeder Finance FEED FEED,"$0,107348",-1.1%,-9.0%,-38.3%,$221 289,$7 047 923
Structure Finance STF STF,"$0,877653",-3.7%,-16.3%,-20.5%,$893 454,$7 021 348
Percent PCT PCT,"$0,816701",,-11.6%,-12.2%,"$7 056,11",$7 006 560
Signata SATA SATA,"$0,354361",0.1%,-8.4%,2.0%,$204 655,$6 982 409
Helmet Insure HELMET HELMET,"$0,169092",0.2%,-14.5%,-24.5%,$346 469,$6 979 052
